P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,
,,,,,,,,,,,OF,Reymond Fuentes (6482912),Reymond Fuentes,6482912,3400,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,1B,Mike Napoli (6482858),Mike Napoli,6482858,3300,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Alejandro De Aza (6482905),Alejandro De Aza,6482905,3300,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,3B,Pablo Sandoval (6482885),Pablo Sandoval,6482885,3300,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,C,Salvador Pérez (6482839),Salvador Pérez,6482839,3300,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SS,Alcides Escobar (6482894),Alcides Escobar,6482894,3200,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,1B/3B,Luis Valbuena (6482862),Luis Valbuena,6482862,3200,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,1B,Travis Shaw (6482860),Travis Shaw,6482860,3200,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Rajai Davis (6482930),Rajai Davis,6482930,3100,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,2B/SS,Starlin Castro (6482878),Starlin Castro,6482878,3100,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,1B/3B,Tyler White (6482864),Tyler White,6482864,3100,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,OF,Chris Young (6482932),Chris Young,6482932,3000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Colby Rasmus (6482918),Colby Rasmus,6482918,3000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,2B/OF,Dustin Ackley (6482875),Dustin Ackley,6482875,3000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,C,Yan Gomes (6482848),Yan Gomes,6482848,3000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Preston Tucker (6482928),Preston Tucker,6482928,3000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,C,Blake Swihart (6482849),Blake Swihart,6482849,3000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Rusney Castillo (6482939),Rusney Castillo,6482939,3000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,3B,Juan Uribe (6482884),Juan Uribe,6482884,2900,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Juan Lagares (6482911),Juan Lagares,6482911,2900,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SS,Didi Gregorius (6482896),Didi Gregorius,6482896,2900,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,OF,Jake Marisnick (6482923),Jake Marisnick,6482923,2900,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,2B/3B,Brock Holt (6482874),Brock Holt,6482874,2900,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Tyler Naquin (6482936),Tyler Naquin,6482936,2900,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Jackie Bradley Jr. (6482937),Jackie Bradley Jr.,6482937,2900,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Mason Williams (6482926),Mason Williams,6482926,2900,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,2B,Omar Infante (6482867),Omar Infante,6482867,2800,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,OF,Paulo Orlando (6482909),Paulo Orlando,6482909,2800,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,C,Jason Castro (6482843),Jason Castro,6482843,2800,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,C,Christian Vázquez (6482847),Christian Vázquez,6482847,2800,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Eury Pérez (6482924),Eury Pérez,6482924,2800,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,2B/SS,José Ramírez (6482879),José Ramírez,6482879,2800,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,C,Kevin Plawecki (6482840),Kevin Plawecki,6482840,2800,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,2B,Rob Refsnyder (6482870),Rob Refsnyder,6482870,2800,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,C,Carlos Corporán (6482842),Carlos Corporán,6482842,2700,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,3B/OF,Lonnie Chisenhall (6482892),Lonnie Chisenhall,6482892,2700,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,C,Roberto Pérez (6482846),Roberto Pérez,6482846,2700,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,2B/SS,Christian Colón (6482876),Christian Colón,6482876,2700,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,3B/SS,Marwin González (6482893),Marwin González,6482893,2600,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,C,Ryan Hanigan (6482845),Ryan Hanigan,6482845,2500,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Abraham Almonte (6482935),Abraham Almonte,6482935,2500,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,2B/3B,Ronald Torreyes (6482873),Ronald Torreyes,6482873,2500,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,1B,Austin Romine (6482855),Austin Romine,6482855,2400,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,OF,Collin Cowgill (6482934),Collin Cowgill,6482934,2200,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,C,Max Stassi (6482844),Max Stassi,6482844,2200,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,C,Drew Butera (6482837),Drew Butera,6482837,2100,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,1B/OF,Michael Cuddyer (6482866),Michael Cuddyer,6482866,2000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,1B/C,Erik Kratz (6482850),Erik Kratz,6482850,2000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,3B,Eric Campbell (6482882),Eric Campbell,6482882,2000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,OF,César Puello (6482922),César Puello,6482922,2000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,1B,Greg Bird (6482856),Greg Bird,6482856,2000,Hou@NYY 01:05PM ET,NYY
